Quantity,Level,Day_Zero_Occupancy,Premium_to_Submarket_Pct,Asking_vs_Effective_Spread,Asset_Luxury_Score,Competitors_Within_2Miles,Name,LeaseUpTime,Market,Row_Index,Cluster,Archetype,PCA1,PCA2,Submarket,Latitude,Longitude
240,3,0.712,-0.24680975092603724,0.16602017067494182,2.7,0,22 North Apartments,4,"Austin-Round Rock, TX",4,0,Value-Add / Boutique,-3.0264716322025476,2.264989013736734,Cedar Park,30.57164,-97.87028
175,3,0.491,0.3332568920619226,0.0,3.7,0,3500 Westlake,12,"Austin-Round Rock, TX",8,1,Suburban High-Velocity,0.10087908352314433,-0.27551339876845055,Southwest Austin,30.33318,-97.80856
207,6,0.029,0.3957661818024868,0.08329540282203005,4.3,1,422 At The Lake,15,"Austin-Round Rock, TX",11,1,Suburban High-Velocity,1.3466756554555648,0.8219916832393909,South Austin,30.25967,-97.74876
150,4,0.08,0.08405973467471711,0.12529691211401425,3.3,0,5th Street Commons,8,"Austin-Round Rock, TX",13,0,Value-Add / Boutique,-1.2186548241319686,0.4512191398220061,Downtown/University,30.27393,-97.76447
186,5,0.006,0.6282702108198528,0.10877759827679052,4.3,0,7East,13,"Austin-Round Rock, TX",15,1,Suburban High-Velocity,1.298856280915917,-0.42394098087975507,East Austin,30.26169,-97.71999
334,3,0.053,0.09759080922557867,0.02909090909090909,4.3,0,95 Twenty,13,"Austin-Round Rock, TX",16,1,Suburban High-Velocity,-0.05457060913011143,-0.7880628961065849,Cedar Park,30.48168,-97.76888
195,3,0.128,0.2782058128935945,0.0,4.3,0,Agave at South Congress,8,"Austin-Round Rock, TX",23,1,Suburban High-Velocity,0.5096805054848313,-1.1025245987819488,Far South Austin,30.20069,-97.76973
230,3,0.026,-0.03714709086074309,0.08297258297258298,3.7,0,Altair Tech Ridge,7,"Austin-Round Rock, TX",28,0,Value-Add / Boutique,-1.14252637364406,-0.12587798792416738,North Central Austin,30.39005,-97.64754
354,3,0.291,0.07305365660395954,0.008759124087591242,3.3,1,Altis Lakeline,20,"Austin-Round Rock, TX",29,0,Value-Add / Boutique,-0.3471985288019855,1.1231045767827568,Cedar Park,30.46782,-97.81115
154,5,0.181,0.23372384941848612,0.0,4.0,3,AMLI 300,19,"Austin-Round Rock, TX",30,2,Urban Luxury High-Rise,1.870034547024843,2.9018897156100825,Downtown/University,30.26964,-97.75584
175,4,0.508,0.5478349076296254,0.06862745098039216,4.3,0,AMLI 5350,5,"Austin-Round Rock, TX",31,1,Suburban High-Velocity,0.9903443122240733,0.028374456910408425,Near North Austin,30.32744,-97.74014
280,5,0.003,0.4637100485017541,0.0,4.3,0,AMLI at Mueller,9,"Austin-Round Rock, TX",32,1,Suburban High-Velocity,1.2924948313673226,-1.1860034595426585,East Austin,30.29688,-97.70389
360,4,0.013,0.0418400830087338,0.0,3.7,0,AMLI Covered Bridge,16,"Austin-Round Rock, TX",33,1,Suburban High-Velocity,-0.4441320272944669,-0.7067781523057828,Southwest Austin,30.24973,-97.89627
290,4,0.8,0.921168993454543,0.0,4.3,3,AMLI Eastside,16,"Austin-Round Rock, TX",35,2,Urban Luxury High-Rise,3.8540916971612584,3.47885497909034,East Austin,30.26857,-97.73157
231,18,0.541,0.6470357057517373,0.0,4.3,3,AMLI on 2ND,5,"Austin-Round Rock, TX",36,2,Urban Luxury High-Rise,4.417612205632964,4.204968226421863,Downtown/University,30.26618,-97.74808
318,4,0.031,0.381380008360656,0.008130081300813009,4.3,0,AMLI on Aldrich,11,"Austin-Round Rock, TX",37,1,Suburban High-Velocity,0.9366093596338473,-1.0776518860871875,East Austin,30.30238,-97.70204
375,6,0.029,0.709152546888464,0.0832729905865315,4.3,0,AMLI South Shore,19,"Austin-Round Rock, TX",38,1,Suburban High-Velocity,1.7849969487551665,-0.42043259010076073,Riverside,30.24522,-97.73019
250,3,0.42,0.09769951218425048,0.0,3.7,0,Anatole at Westinghouse,8,"Austin-Round Rock, TX",41,1,Suburban High-Velocity,-0.5290813615173229,-0.2189652954903315,Round Rock/Georgetown,30.58013,-97.68139
312,3,0.141,-0.09634365420268295,0.07705627705627706,4.0,0,Arrington Ridge,17,"Austin-Round Rock, TX",54,0,Value-Add / Boutique,-1.0632637688127249,-0.02683642872593193,Round Rock/Georgetown,30.56036,-97.67675
330,4,0.0,0.4240187157808909,0.0688976377952756,4.3,0,Ascent Arboretum,22,"Austin-Round Rock, TX",58,1,Suburban High-Velocity,0.8304608311829778,-0.6326683888862741,Arboretum,30.39232,-97.73824
259,36,0.509,0.4123539528606111,0.0,3.0,1,Ashton Austin,13,"Austin-Round Rock, TX",61,2,Urban Luxury High-Rise,3.3990890755422147,3.811064941242622,Downtown/University,30.26413,-97.74536
348,3,0.413,0.13644933689848732,0.04041204437400951,3.7,0,Aura 33Hundred,10,"Austin-Round Rock, TX",65,1,Suburban High-Velocity,-0.5420597256683777,0.16255343644481884,Pflugerville/Wells Branch,30.44094,-97.69525
336,3,0.229,-0.05249968167129554,0.1361003861003861,4.3,0,Autumn Ranch on Swenson Farms,16,"Austin-Round Rock, TX",73,1,Suburban High-Velocity,-0.9591117691025604,0.47575915792393075,Pflugerville/Wells Branch,30.44821,-97.63049
309,3,0.048,0.13060214285587207,0.16654904728299225,4.0,0,Avanti Hills at the Galleria,25,"Austin-Round Rock, TX",77,1,Suburban High-Velocity,-0.7424022682568466,0.4524466503118856,Southwest Austin,30.30943,-97.93741
295,5,0.0,0.49085662683543363,0.0,4.3,0,Azul Lakeshore,19,"Austin-Round Rock, TX",82,1,Suburban High-Velocity,1.3765211381829685,-1.1931539195741556,Riverside,30.24223,-97.72257
296,3,0.013,0.02732582022643608,0.08321775312066575,4.0,0,Bartz Ranch,13,"Austin-Round Rock, TX",90,1,Suburban High-Velocity,-0.7025403672227548,-0.2613463608748249,Round Rock/Georgetown,30.55928,-97.67495
344,3,0.146,0.2713106232605704,0.0,4.3,0,Bell at Four Points,24,"Austin-Round Rock, TX",94,1,Suburban High-Velocity,0.5371361891024304,-0.956356950150238,Far West Austin,30.40011,-97.85056
318,3,0.421,0.013236144286184944,0.13837837837837838,3.7,1,Bell at Teravista,9,"Austin-Round Rock, TX",95,0,Value-Add / Boutique,-0.777443442455274,2.2476457404400576,Round Rock/Georgetown,30.57232,-97.65408
272,3,0.066,0.09493445908958556,0.0,3.7,0,Bell Austin Southwest,8,"Austin-Round Rock, TX",96,1,Suburban High-Velocity,-0.43020230845697904,-0.7880002967134373,Southwest Austin,30.18381,-97.85409
276,3,0.648,0.018308426485313393,0.14499121265377857,2.7,0,Bell Hill Country,5,"Austin-Round Rock, TX",97,0,Value-Add / Boutique,-2.151367900623677,1.877908282534377,Southwest Austin,30.24942,-97.89221
148,3,0.06,0.16638257845487908,0.0,4.0,0,Bell Quarry Hill,5,"Austin-Round Rock, TX",98,1,Suburban High-Velocity,-0.03785414556373724,-1.0613277862250097,Southwest Austin,30.2306,-97.87917
357,6,0.0,0.10690679260009697,0.07088009450679268,3.7,0,Bell South Lamar,31,"Austin-Round Rock, TX",99,1,Suburban High-Velocity,-0.35086660672060416,-0.017913195096157474,South Austin,30.24318,-97.78119
330,3,0.0,0.12227913739300454,0.0,4.3,0,Bell Southpark,12,"Austin-Round Rock, TX",100,1,Suburban High-Velocity,0.14530674026642135,-1.1347663088469044,Far South Austin,30.15082,-97.79588
302,4,0.0,0.15127536167755665,0.08306082406801832,4.3,0,Bell Steiner Ranch,14,"Austin-Round Rock, TX",101,1,Suburban High-Velocity,-0.01852987545267704,-0.3993233134402484,Far West Austin,30.38325,-97.87365
152,2,0.0,0.050641117200867496,0.0,3.3,0,Belterra Springs,12,"Austin-Round Rock, TX",103,0,Value-Add / Boutique,-0.9791954407325071,-0.8638389443195769,Southwest Austin,30.19941,-97.98164
350,3,0.351,0.020232771148295005,0.0,3.3,0,Berkshire Lakeway,12,"Austin-Round Rock, TX",105,0,Value-Add / Boutique,-1.0024976192518487,-0.0405972515844399,Southwest Austin,30.32049,-98.00526
338,4,0.0,0.22243184156216667,0.042222222222222223,4.3,0,Bexley 3Five,13,"Austin-Round Rock, TX",106,1,Suburban High-Velocity,0.3606056297959948,-0.7493201325125943,Southeast Austin,30.1748,-97.77621
300,3,0.74,0.0789816058559708,0.08366141732283465,3.7,0,Bexley at Silverado,13,"Austin-Round Rock, TX",108,0,Value-Add / Boutique,-0.9872290833053581,1.0591116102530878,Cedar Park,30.53235,-97.77883
342,2,0.374,-0.00889731255660724,0.0,4.0,0,Bexley at Tech Ridge,9,"Austin-Round Rock, TX",109,1,Suburban High-Velocity,-0.6535635176313438,-0.38217289756367023,North Central Austin,30.39573,-97.65152
340,3,0.014,-0.014014674537918163,0.066030230708035,3.0,0,Bexley at Whitestone,15,"Austin-Round Rock, TX",110,0,Value-Add / Boutique,-1.501407776647287,0.09643814324392833,Cedar Park,30.47222,-97.79246
344,3,0.046,0.10569475179168245,0.0,3.7,0,Bexley Lakeline,11,"Austin-Round Rock, TX",111,1,Suburban High-Velocity,-0.3684507892168552,-0.7719903821510202,Cedar Park,30.47363,-97.80963
332,3,0.024,0.1730401622703117,0.0,4.0,0,Bexley Wolf Ranch,24,"Austin-Round Rock, TX",113,1,Suburban High-Velocity,0.05590244532536199,-0.9849590940693704,Round Rock/Georgetown,30.63169,-97.70229
254,3,0.421,-0.014521812735982074,0.12489927477840451,2.3,0,Biltmore at the Park,10,"Austin-Round Rock, TX",114,0,Value-Add / Boutique,-2.4154150367533074,1.5114106004195234,Pflugerville/Wells Branch,30.42239,-97.59489
186,3,0.145,0.19796277967834813,0.059487179487179485,4.3,0,Blanco River Lodge,6,"Austin-Round Rock, TX",115,1,Suburban High-Velocity,0.03508769995614582,-0.5432771899426012,San Marcos,29.88236,-97.91048
376,3,0.013,0.1386242912092753,0.03614457831325301,4.0,0,Broadstone 8 One Hundred,13,"Austin-Round Rock, TX",127,1,Suburban High-Velocity,-0.16796917453905946,-0.6502077756308469,Northwest Austin,30.46126,-97.75635
280,3,0.703,0.3935219674386689,0.0,4.3,0,Broadstone Grand Avenue,12,"Austin-Round Rock, TX",129,1,Suburban High-Velocity,0.7095564373867127,-0.14205148044774799,Pflugerville/Wells Branch,30.45709,-97.66329
396,3,0.899,0.12998266559980814,0.0,4.3,0,Broadstone Travesia,2,"Austin-Round Rock, TX",130,1,Suburban High-Velocity,-0.06107869183472038,0.402310079107301,Pflugerville/Wells Branch,30.46992,-97.69011
185,5,0.054,0.3224082007871279,0.0,4.3,1,Burnet Flats,9,"Austin-Round Rock, TX",135,1,Suburban High-Velocity,1.3595621202108539,0.11029201049893265,Near North Austin,30.33005,-97.73925
272,2,0.43,0.040275710414624286,0.12150537634408602,2.7,0,Camden Brushy Creek,11,"Austin-Round Rock, TX",139,0,Value-Add / Boutique,-2.028139014807709,1.22985897772448,Cedar Park,30.50444,-97.80258
208,3,0.014,0.05011318948614551,0.0835509138381201,4.3,0,Camden Cedar Hills,14,"Austin-Round Rock, TX",140,1,Suburban High-Velocity,-0.4405203286386689,-0.46873594714923744,Southwest Austin,30.18964,-97.85643
300,3,0.75,0.1320830317389442,0.007123775601068566,4.3,0,Camden La Frontera,2,"Austin-Round Rock, TX",143,1,Suburban High-Velocity,-0.07533073327172124,0.1410512479832987,Round Rock/Georgetown,30.48195,-97.69309
314,5,0.024,0.2828662090253191,0.0,4.3,0,Camden Lamar Heights,11,"Austin-Round Rock, TX",144,1,Suburban High-Velocity,0.7794452428558256,-1.0352280031979855,Near North Austin,30.32251,-97.72898
326,8,0.022,0.1296996893204142,0.06875543951261967,4.0,1,Camden Rainey,15,"Austin-Round Rock, TX",145,1,Suburban High-Velocity,0.640853277645648,1.1972930034936398,Downtown/University,30.26011,-97.73756
370,4,0.032,0.16161958613057606,0.0,4.3,0,Century Stone Hill,12,"Austin-Round Rock, TX",163,1,Suburban High-Velocity,0.35606783338122894,-0.9950412693794555,Pflugerville/Wells Branch,30.46754,-97.6042
445,4,0.031,0.09056917388416937,0.0,4.0,0,Century Travesia,29,"Austin-Round Rock, TX",165,1,Suburban High-Velocity,-0.05037417106752402,-0.7706417828562662,Pflugerville/Wells Branch,30.46722,-97.68702
554,3,0.0,0.16819080693339286,0.009664948453608248,3.0,0,Cielo,31,"Austin-Round Rock, TX",176,1,Suburban High-Velocity,-0.6754424092631912,-0.32725687794907404,Southwest Austin,30.32616,-97.95771
384,3,0.119,-0.05716563780587033,0.2693409742120344,2.7,2,City North at Sunrise Ranch,15,"Austin-Round Rock, TX",178,0,Value-Add / Boutique,-1.6355104367105147,4.5871838506906535,Round Rock/Georgetown,30.54255,-97.67436
